date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:26:40	29708/29708	---M-Z	200	added ('OK')	text/css	etag:%22740c-63a29a1b-e1a1ec570e0840a1;gz%22	https://englobaleducation.co.uk/wp-content/plugins/christmas_card_1/the_card/css/prettyPhoto.css?ver=6.1.1	C:/Users/DELL/Desktop/Badmus%20Qudus%20Ayomide/New%20era/mayowa/englobaleducation.co.uk/wp-content/plugins/christmas_card_1/the_card/css/prettyPhoto6a4d.css	(from https://englobaleducation.co.uk/)
23:26:42	2781/2781	---M-Z	200	added ('OK')	text/css	etag:%22add-6557f745-c9cc73ca275e2362;gz%22	https://englobaleducation.co.uk/wp-content/plugins/search-in-place/css/codepeople_shearch_in_place.min.css?ver=1.1.4	C:/Users/DELL/Desktop/Badmus%20Qudus%20Ayomide/New%20era/mayowa/englobaleducation.co.uk/wp-content/plugins/search-in-place/css/codepeople_shearch_in_place.min8daf.css	(from https://englobaleducation.co.uk/)
23:26:44	94889/94889	---M-Z	200	added ('OK')	text/css	etag:%22172a9-63cb7ab5-e6122c857382831c;gz%22	https://englobaleducation.co.uk/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	C:/Users/DELL/Desktop/Badmus%20Qudus%20Ayomide/New%20era/mayowa/englobaleducation.co.uk/wp-includes/css/dist/block-library/style.min6a4d.css	(from https://englobaleducation.co.uk/)
23:26:46	73126/73126	---M-Z	200	added ('OK')	text/css	etag:%2211da6-654e833c-42d57c080d093039;gz%22	https://englobaleducation.co.uk/wp-content/plugins/jet-engine/assets/css/frontend.css?ver=3.2.7	C:/Users/DELL/Desktop/Badmus%20Qudus%20Ayomide/New%20era/mayowa/englobaleducation.co.uk/wp-content/plugins/jet-engine/assets/css/frontend2c3d.css	(from https://englobaleducation.co.uk/)
23:26:46	217/217	---M--	200	added ('OK')	text/css	etag:%22d9-63cb7ab5-c9e4f04f3df5ea40;;;%22	https://englobaleducation.co.uk/wp-includes/css/classic-themes.min.css?ver=1	C:/Users/DELL/Desktop/Badmus%20Qudus%20Ayomide/New%20era/mayowa/englobaleducation.co.uk/wp-includes/css/classic-themes.min68b3.css	(from https://englobaleducation.co.uk/)
23:26:47	476/476	---M-Z	200	added ('OK')	text/css	etag:%221dc-634fcd01-1e7d0b3afa92622;gz%22	https://englobaleducation.co.uk/wp-content/plugins/animated-typing-effect/assets/css/cursor.css?ver=6.1.1	C:/Users/DELL/Desktop/Badmus%20Qudus%20Ayomide/New%20era/mayowa/englobaleducation.co.uk/wp-content/plugins/animated-typing-effect/assets/css/cursor6a4d.css	(from https://englobaleducation.co.uk/)
23:26:50	59348/59348	---M-Z	200	added ('OK')	text/css	etag:%22e7d4-6375f2bf-1fb08800bd6351e1;gz%22	https://englobaleducation.co.uk/wp-content/themes/oceanwp/assets/fonts/fontawesome/css/all.min.css?ver=5.15.1	C:/Users/DELL/Desktop/Badmus%20Qudus%20Ayomide/New%20era/mayowa/englobaleducation.co.uk/wp-content/themes/oceanwp/assets/fonts/fontawesome/css/all.min9e0b.css	(from https://englobaleducation.co.uk/)
23:26:50	10927/10927	---M-Z	200	added ('OK')	text/css	etag:%222aaf-6375f2bf-bf45b02c3a5a32e3;gz%22	https://englobaleducation.co.uk/wp-content/themes/oceanwp/assets/css/third/simple-line-icons.min.css?ver=2.4.0	C:/Users/DELL/Desktop/Badmus%20Qudus%20Ayomide/New%20era/mayowa/englobaleducation.co.uk/wp-content/themes/oceanwp/assets/css/third/simple-line-icons.min8d5a.css	(from https://englobaleducation.co.uk/)
23:26:54	1412/1412	---M-Z	200	added ('OK')	text/css	etag:%22584-634eca26-a988ffd3fe4dea0d;gz%22	https://englobaleducation.co.uk/wp-content/themes/oceanwp-child/style.css?ver=3.3.5.1666107942	C:/Users/DELL/Desktop/Badmus%20Qudus%20Ayomide/New%20era/mayowa/englobaleducation.co.uk/wp-content/themes/oceanwp-child/style29d1.css	(from https://englobaleducation.co.uk/)
23:26:54	176428/176428	---M-Z	200	added ('OK')	text/css	etag:%222b12c-6375f2bf-3d6504b5e60f0eb2;gz%22	https://englobaleducation.co.uk/wp-content/themes/oceanwp/assets/css/style.min.css?ver=3.3.5.1666107942	C:/Users/DELL/Desktop/Badmus%20Qudus%20Ayomide/New%20era/mayowa/englobaleducation.co.uk/wp-content/themes/oceanwp/assets/css/style.min29d1.css	(from https://englobaleducation.co.uk/)
23:27:00	83564/83564	---M-Z	200	added ('OK')	text/css	etag:%221466c-64806c58-fb57e1b0b39e49b6;gz%22	https://englobaleducation.co.uk/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.13.4	C:/Users/DELL/Desktop/Badmus%20Qudus%20Ayomide/New%20era/mayowa/englobaleducation.co.uk/wp-content/plugins/elementor/assets/css/frontend-lite.mina44d.css	(from https://englobaleducation.co.uk/)
23:27:06	4857/4857	---M-Z	200	added ('OK')	text/css	etag:%2212f9-64806c7e-205da78bdf7ffdc7;gz%22	https://englobaleducation.co.uk/wp-content/uploads/elementor/css/post-527.css?ver=1686137982	C:/Users/DELL/Desktop/Badmus%20Qudus%20Ayomide/New%20era/mayowa/englobaleducation.co.uk/wp-content/uploads/elementor/css/post-527dbf2.css	(from https://englobaleducation.co.uk/)
23:27:18	3851/3851	---M-Z	200	added ('OK')	text/css	etag:%22f0b-64806c7e-87c92881ac259aa1;gz%22	https://englobaleducation.co.uk/wp-content/uploads/elementor/css/post-532.css?ver=1686137982	C:/Users/DELL/Desktop/Badmus%20Qudus%20Ayomide/New%20era/mayowa/englobaleducation.co.uk/wp-content/uploads/elementor/css/post-532dbf2.css	(from https://englobaleducation.co.uk/)
23:27:31	21126/21126	---M-Z	200	added ('OK')	text/css	etag:%225286-653afdf6-e35a13a103accd54;gz%22	https://englobaleducation.co.uk/wp-content/uploads/elementor/css/post-587.css?ver=1698364918	C:/Users/DELL/Desktop/Badmus%20Qudus%20Ayomide/New%20era/mayowa/englobaleducation.co.uk/wp-content/uploads/elementor/css/post-587fb4e.css	(from https://englobaleducation.co.uk/)
